Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
INFY,2025-03-04T08:22:47Z,Sanctuary Advisors LLC Lowers Stock Position in Infosys Limited (NYSE:INFY),"Sanctuary Advisors LLC lowered its position in Infosys Limited (NYSE:INFY – Free Report) by 13.3% in the 4th quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fund owned 15,402 shares o…",0.7184,Positive,https://www.etfdailynews.com/2025/03/04/sanctuary-advisors-llc-lowers-stock-position-in-infosys-limited-nyseinfy/
INFY,2025-02-25T00:30:00Z,"Agentic AI's a clear revenue tailwind: Infy, HCLTech CEOs","The industry is dealing with several challenges at multiple levels. While AI is hitting the very core of the industry with its automation and code generation capabilities, the technology demand has not fully recovered after being depressed for two years.",0.7783,Positive,https://economictimes.indiatimes.com/tech/information-tech/agentic-ais-a-clear-revenue-tailwind-infy-hcltech-ceos/articleshow/118538411.cms
INFY,2025-02-18T10:16:00Z,"Infosys, Lufthansa Group, and Lufthansa Systems Collaborate to Accelerate Digital Innovation in the Aviation Industry","Establishes a new Global Capability Center in India to drive growth and deliver future-ready capabilities and services powered by Infosys Topaz BENGALURU, India, Feb. 18, 2025 /PRNewswire/ -- Infosys (NSE: INFY) (BSE: INFY) (NYSE: INFY), a global leader in ne…",0.7783,Positive,https://www.prnewswire.co.uk/news-releases/infosys-lufthansa-group-and-lufthansa-systems-collaborate-to-accelerate-digital-innovation-in-the-aviation-industry-302378779.html
INFY,2025-02-17T07:34:46Z,Brokerages Set Infosys Limited (NYSE:INFY) PT at $20.22,"Infosys Limited (NYSE:INFY – Get Free Report) has been given an average rating of “Hold” by the ten research firms that are presently covering the firm, MarketBeat Ratings reports. Two equities research analysts have rated the stock with a sell rating, three …",0.4404,Positive,https://www.etfdailynews.com/2025/02/17/brokerages-set-infosys-limited-nyseinfy-pt-at-20-22/
INFY,2025-02-16T05:26:43Z,"F&O Talk | Nifty under pressure: Lower highs signal potential drop below 21, 280: Rahul Ghose of Hedged.in","Indian benchmark indices continued their downward trend on Friday, with all 13 major sectors closing in negative territory. Investor sentiment was dampened by concerns over U.S. President Donald Trump's proposed reciprocal tariffs.",-0.8807,Negative,https://economictimes.indiatimes.com/markets/expert-view/fo-talk-nifty-under-pressure-lower-highs-signal-potential-drop-below-21-280-rahul-ghose-of-hedged-in/articleshow/118295778.cms
INFY,2025-02-13T09:47:01Z,Infosys Limited (NYSE:INFY) Shares Bought by Sumitomo Mitsui DS Asset Management Company Ltd,"Sumitomo Mitsui DS Asset Management Company Ltd increased its stake in Infosys Limited (NYSE:INFY – Free Report) by 25.0% in the fourth quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The institutional investor owne…",0.9432,Positive,https://www.etfdailynews.com/2025/02/13/infosys-limited-nyseinfy-shares-bought-by-sumitomo-mitsui-ds-asset-management-company-ltd/
INFY,2025-02-13T08:20:45Z,Yousif Capital Management LLC Has $1.51 Million Stock Holdings in Infosys Limited (NYSE:INFY),"Yousif Capital Management LLC increased its stake in shares of Infosys Limited (NYSE:INFY – Free Report) by 8.9% during the 4th quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The institutional invest…",0.8934,Positive,https://www.etfdailynews.com/2025/02/13/yousif-capital-management-llc-has-1-51-million-stock-holdings-in-infosys-limited-nyseinfy/
INFY,2025-02-13T06:27:11Z,'Possibly employee of L&T or Infosys': Bengaluru woman caught working on laptop while driving,The woman in question was caught working on her laptop while driving on the busy streets of Bengaluru.,-0.4168,Negative,https://www.businesstoday.in/latest/trends/story/possibly-employee-of-lt-or-infosys-bengaluru-woman-caught-working-on-laptop-while-driving-464481-2025-02-13
INFY,2025-02-06T14:28:54Z,"Two friends, two rivals, a mega deal and insider trading. Here’s how Sebi uncovered a financial crime","On 14 July 2020, Sebi’s surveillance system flagged unusual trading activity. Investigations followed. A former Wipro executive allegedly profited from insider information when Infosys announced its largest contract with Vanguard that day. We have the inside …",0.6486,Positive,https://www.livemint.com/companies/insider-trading-sebi-infosys-wipro-vanguard-contract-it-services-companies-financial-crime-11738849665103.html
INFY,2025-02-06T08:44:53Z,Greenleaf Trust Trims Stake in Infosys Limited (NYSE:INFY),"Greenleaf Trust lessened its position in shares of Infosys Limited (NYSE:INFY – Free Report) by 51.7% during the fourth quarter, according to its most recent filing with the Securities & Exchange Commission. The fund owned 17,221 shares of the technology comp…",0.9674,Positive,https://www.etfdailynews.com/2025/02/06/greenleaf-trust-trims-stake-in-infosys-limited-nyseinfy/
