Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
MARUTI,2025-03-04T10:53:33Z,"Sensex falls below 73,000 amid global equity rout on tariff war worries","BSE Sensex falls below 73,000 amid global equity rout, foreign fund outflows, and tariff war concerns.",-0.9517,Negative,https://www.thehindubusinessline.com/markets/sensex-falls-below-73000-amid-global-equity-rout-on-tariff-war-worries/article69289632.ece
MARUTI,2025-03-04T09:54:00Z,"$5.37 Bn Ventilator Market Forecasts 2025-2030: Emergence of More Patient-friendly, Cost-effective, and Portable Devices Fueling Expansion","Dublin, March 04, 2025 (GLOBE NEWSWIRE) -- The ""Ventilator Market - Forecasts from 2025 to 2030"" report has been added to ResearchAndMarkets.com's offering.The ventilator market size is projected to grow at a CAGR of 6.65% to reach US$7.416 billion by 2030, f…",0.0258,Positive,https://www.globenewswire.com/news-release/2025/03/04/3036235/28124/en/5-37-Bn-Ventilator-Market-Forecasts-2025-2030-Emergence-of-More-Patient-friendly-Cost-effective-and-Portable-Devices-Fueling-Expansion.html
MARUTI,2025-03-04T07:11:02Z,Buying on Dips: Neeraj Dewan’s investment strategy for long-term gains,"Market Expert Neeraj Dewan in an interview with ET Now emphasized the growing instability in the market, driven by ongoing trade talks and tariff impositions. The market sentiment has shifted from an earlier phase of greed to overwhelming fear. He believes th…",-0.2732,Negative,https://m.economictimes.com/markets/stocks/news/buying-on-dips-neeraj-dewans-investment-strategy-for-long-term-gains/the-current-market-environment/slideshow/118702637.cms
MARUTI,2025-03-04T06:24:08Z,"Maruti Suzuki Super Carry Safety Pack Upgraded, Now Gets ESP","Maruti Suzuki&#039;s commercial mini truck - Super Carry, now features a more reinforced safety suit with the addition of Electronic Stability Program.",0.9833,Positive,https://www.ndtv.com/auto/maruti-suzuki-super-carry-safety-pack-upgraded-now-gets-esp-7843696
MARUTI,2025-03-04T05:18:36Z,Long-term investment in financial sector could yield strong returns: Neeraj Dewan,"I feel that what happened in the budget also, so that will also help the auto companies going ahead. So, there is fear that duty cut will happen, there will be competition coming in from outside India, that may happen.",0.483,Positive,https://economictimes.indiatimes.com/markets/expert-view/long-term-investment-in-financial-sector-could-yield-strong-returns-neeraj-dewan/articleshow/118699178.cms
MARUTI,2025-03-04T05:02:25Z,"Neeraj Dewan recommends patience, advises investors to add on market dips","The core portfolio should stay because there is definitely a lot of fear on the street. About five-six months back there was a lot of greed, but now that has converted into so much fear and no one is really talking about buying anything. Everyone is talking a…",-0.9239,Negative,https://economictimes.indiatimes.com/markets/expert-view/neeraj-dewan-recommends-patience-advises-investors-to-add-on-market-dips/articleshow/118698795.cms
MARUTI,2025-03-04T04:30:33Z,LIC stock portfolio bleeds Rs 1.5 lakh crore in 2025 market carnage,"Life Insurance Corporation of India (LIC) has witnessed a significant erosion of Rs 1.45 lakh crore in its equity holdings in the first two months of 2025. This sharp decline reflects the broader market downturn, impacting major holdings such as ITC, TCS, and…",-0.3182,Negative,https://economictimes.indiatimes.com/markets/stocks/news/lic-stock-portfolio-bleeds-rs-1-5-lakh-crore-in-2025-market-carnage/articleshow/118697997.cms
MARUTI,2025-03-03T18:50:00Z,"Sensex falls 112 pts, Nifty declines for 9th day on selling in HDFC Bank, RIL","MUMBAI, March 3: Benchmark BSE Sensex declined by 112 points while Nifty fell for the ninth straight session on Monday following selling in blue-chips HDFC Bank and Reliance Industries. In a see-saw trade, the 30-share BSE benchmark declined by 112.16 points …",0.872,Positive,https://thehillstimes.in/business/sensex-falls-112-pts-nifty-declines-for-9th-day-on-selling-in-hdfc-bank-ril
MARUTI,2025-03-03T17:56:19Z,"Tata Motors’ EV sales slump 23% in Feb, marking ninth monthly decline in FY25","Tata Motors reported a 23% drop in EV sales in February, continuing a trend of declining sales over the fiscal year.Competing brands like MG Motor have gained market share, while the entry of Tesla poses an additional challenge to Tata's dominance in the EV s…",0.743,Positive,https://www.livemint.com/companies/news/tata-motors-ev-sales-slump-23-in-feb-marking-ninth-monthly-decline-in-fy25-11740988954832.html
MARUTI,2025-03-03T12:28:05Z,"NSE/BSE, top gainers & top losers today 3 Mar 2025: UltraTech, Bharti Airtel gain; Reliance, Bajaj Finserv drag","The day’s trading was characterized by high volatility with markets recovering from intraday lows. The Nifty tested the crucial psychological support of 22,000 before staging a recovery in the latter half of the trading session",0.8591,Positive,https://www.thehindubusinessline.com/markets/nse-bse-stock-market-top-gainers-top-losers-today-ultracemco-bhartiartl-reliance-bajajfinsv-3-mar-2025/article69285531.ece
MARUTI,2025-03-03T11:16:07Z,"Auto stocks react to February sales data; Eicher Motors, TVS Motor, M&M lead gains","February sales data impact on auto sector stocks; TVS Motor, Eicher Motors, Mahindra & Mahindra rise, Bajaj Auto, Ashok Leyland, Hero Motocorp fall.",0.9231,Positive,https://www.thehindubusinessline.com/markets/stock-markets/auto-stocks-react-to-february-sales-data-eicher-motors-tvs-motors-mm-lead-gains/article69285360.ece
