0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"11,275","11,061","11,645","11,706","10,990","13,285","14,801","15,657","13,785","16,151","22,210","19,952","21,058"
Expenses +,"9,079","9,417","10,122","10,199","9,522","11,375","12,757","13,247","11,432","13,151","20,291","16,895","18,005"
Operating Profit,"2,196","1,645","1,523","1,507","1,468","1,909","2,045","2,409","2,352","3,000","1,919","3,058","3,053"
OPM %,19%,15%,13%,13%,13%,14%,14%,15%,17%,19%,9%,15%,14%
Other Income +,-71,270,252,-3,91,132,138,311,28,112,175,492,989
Interest,115,114,83,67,83,102,89,86,57,55,77,154,161
Depreciation,559,574,558,652,605,640,600,603,635,597,835,876,934
Profit before tax,"1,451","1,227","1,135",784,871,"1,298","1,494","2,031","1,688","2,460","1,182","2,519","2,948"
Tax %,27%,11%,-3%,25%,26%,29%,-1%,33%,16%,26%,26%,16%,
Net Profit +,"1,061","1,096","1,168",592,647,915,"1,507","1,359","1,415","1,820",870,"2,124","2,438"
EPS in Rs,56.52,58.36,62.23,31.51,34.46,48.75,80.23,72.36,75.35,96.93,46.32,113.12,129.80
Dividend Payout %,53%,51%,55%,54%,49%,53%,17%,19%,19%,60%,20%,7%,
