0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"4,226","4,426","4,468","3,987","4,537","4,791","5,201","4,435","4,918","5,398","5,156","4,608","5,896"
Expenses +,"3,671","3,793","4,043","3,972","4,159","4,324","4,432","3,886","4,015","4,561","4,478","4,179","4,787"
Operating Profit,555,634,425,15,378,466,769,548,903,837,677,429,"1,109"
OPM %,13%,14%,10%,0%,8%,10%,15%,12%,18%,16%,13%,9%,19%
Other Income +,-2,58,53,53,-38,51,78,208,84,122,70,154,644
Interest,13,11,15,18,19,15,25,29,34,66,33,33,28
Depreciation,160,153,164,173,172,174,199,212,234,231,221,232,250
Profit before tax,381,528,300,-122,149,328,623,516,719,662,493,318,"1,475"
Tax %,26%,26%,26%,-26%,26%,28%,26%,25%,27%,-13%,26%,26%,26%
Net Profit +,280,392,222,-91,110,237,464,384,527,749,366,234,"1,089"
EPS in Rs,14.91,20.86,11.83,-4.85,5.88,12.60,24.71,20.46,28.09,39.86,19.50,12.45,57.99
Raw PDF,,,,,,,,,,,,,
