0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,343,365,353,395,411,450,467,497,508,546,542,579,597
Interest,125,124,135,141,150,165,187,204,217,222,235,249,259
Expenses +,97,88,97,109,117,118,132,130,134,139,138,133,142
Financing Profit,121,153,121,144,144,167,148,163,157,186,169,198,196
Financing Margin %,35%,42%,34%,37%,35%,37%,32%,33%,31%,34%,31%,34%,33%
Other Income +,0,0,0,0,1,1,0,1,1,1,0,1,1
Depreciation,6,7,6,7,7,9,7,8,9,9,9,9,9
Profit before tax,116,146,115,138,138,159,141,157,150,177,161,190,188
Tax %,23%,21%,22%,22%,22%,20%,22%,22%,22%,20%,22%,22%,22%
Net Profit +,89,116,89,107,107,127,110,122,117,143,126,148,146
EPS in Rs,11.29,14.65,11.30,13.52,13.57,16.04,13.87,15.38,14.74,18.02,15.93,18.69,18.50
Gross NPA %,1.72%,0.99%,1.08%,1.10%,1.13%,0.92%,1.00%,1.04%,1.09%,0.94%,1.01%,1.08%,1.14%
Net NPA %,1.33%,0.77%,0.84%,0.84%,0.87%,0.68%,0.73%,0.76%,0.79%,0.67%,0.72%,0.78%,0.81%
Raw PDF,,,,,,,,,,,,,
