0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,298,332,83,175,271,158,14,202,885,416,114,468,349
Expenses +,299,335,85,181,273,178,18,209,868,409,112,427,358
Operating Profit,-1,-3,-1,-5,-2,-19,-4,-6,17,7,1,41,-9
OPM %,-0%,-1%,-2%,-3%,-1%,-12%,-27%,-3%,2%,2%,1%,9%,-3%
Other Income +,161,210,177,177,137,124,425,193,201,175,195,270,310
Interest,190,201,193,140,35,48,56,81,103,108,120,132,136
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-30,6,-17,32,99,56,365,105,114,74,77,180,164
Tax %,0%,0%,0%,0%,0%,0%,18%,0%,0%,0%,0%,0%,0%
Net Profit +,-30,6,-17,32,99,56,301,105,114,74,77,180,164
EPS in Rs,-0.27,0.05,-0.15,0.29,0.89,0.50,2.70,0.94,1.02,0.67,0.69,1.50,1.36
Raw PDF,,,,,,,,,,,,,
