0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,110,110,110,110,110,110,110,110,110,110,114,114,114
Reserves,"10,257","9,924","10,168","3,435","3,657","3,798","3,139","3,651","4,018","5,131","13,820","16,526","17,611"
Borrowings +,"5,270","6,953","6,024","6,714","7,213","6,683","2,865","3,012","2,919","4,411","3,106","5,893","9,739"
Other Liabilities +,"4,666","5,570","6,339","4,145","3,678","4,820","8,559","7,113","5,945","12,001","23,097","19,648","16,919"
Total Liabilities,"20,303","22,557","22,641","14,404","14,658","15,411","14,673","13,886","12,992","21,652","40,137","42,180","44,383"
Fixed Assets +,917,924,898,"1,079","1,171","1,263","1,558","1,528","1,428","1,683","1,668","1,540","1,669"
CWIP,163,255,270,851,622,414,211,220,453,511,649,752,680
Investments,"4,067","6,552","6,954","1,110","3,091","3,009","1,944","2,275","2,465","3,437","9,948","14,071","16,720"
Other Assets +,"15,156","14,827","14,519","11,364","9,774","10,725","10,960","9,863","8,646","16,020","27,872","25,817","25,314"
Total Assets,"20,303","22,557","22,641","14,404","14,658","15,411","14,673","13,886","12,992","21,652","40,137","42,180","44,383"
