0,1,2,3,4,5,6,7,8,9,10
Equity Capital,160,"1,274","1,564","1,564","1,564","1,564","1,564","1,584","1,584","1,584"
Reserves,-1,-50,-120,594,624,906,705,"4,072","5,914","5,987"
Borrowings +,65,549,"3,487","2,363","2,062","5,310","17,289","13,591","22,922","20,677"
Other Liabilities +,52,8,396,890,"2,145","6,517","8,405","9,417","10,963","14,713"
Total Liabilities,276,"1,781","5,327","5,412","6,395","14,297","27,963","28,664","41,383","42,961"
Fixed Assets +,87,78,69,62,62,67,74,614,877,669
CWIP,0,1,0,1,1,1,8,385,217,677
Investments,165,"1,354","1,530","2,030",682,"2,920","17,839","20,755","22,995","24,589"
Other Assets +,24,349,"3,728","3,319","5,650","11,309","10,042","6,910","17,294","17,026"
Total Assets,276,"1,781","5,327","5,412","6,395","14,297","27,963","28,664","41,383","42,961"
