0,1,2,3,4,5,6,7,8,9,10
Sales +,0,10,"1,719",318,"1,247","2,473","10,672","7,629","12,001","20,571"
Expenses +,0,30,"1,697",363,"1,288","2,444","10,550","7,772","11,767","19,083"
Operating Profit,-0,-20,21,-45,-41,29,122,-143,234,"1,488"
OPM %,,-203%,1%,-14%,-3%,1%,1%,-2%,2%,7%
Other Income +,0,8,67,303,333,656,530,713,826,808
Interest,1,27,131,288,214,258,775,892,"1,521","1,852"
Depreciation,0,10,9,8,3,4,7,11,30,43
Profit before tax,-1,-49,-52,-39,75,423,-130,-333,-491,401
Tax %,0%,0%,-11%,-11%,-79%,14%,-55%,-2%,11%,
Net Profit +,-1,-49,-46,-35,134,364,-58,-328,-546,372
EPS in Rs,-0.06,-0.39,-0.34,-0.22,0.86,2.33,-0.37,-2.07,-3.45,2.35
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
