0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,269","2,109","2,167","2,912",918,"1,632",691,"1,917","2,089","7,304","3,383","3,937","5,947"
Expenses +,"2,147","2,098","2,308","2,978",955,"1,531",697,"1,922","2,000","7,141","3,219","3,579","5,144"
Operating Profit,122,11,-141,-66,-37,101,-6,-5,89,163,164,358,803
OPM %,5%,1%,-7%,-2%,-4%,6%,-1%,-0%,4%,2%,5%,9%,14%
Other Income +,111,109,382,130,134,67,133,141,415,130,254,216,208
Interest,317,288,107,154,222,409,310,364,377,470,481,475,426
Depreciation,2,2,2,3,3,3,3,13,4,10,12,9,12
Profit before tax,-86,-170,132,-93,-128,-244,-186,-241,123,-187,-75,90,573
Tax %,-8%,-32%,0%,0%,-1%,-2%,10%,7%,8%,4%,19%,-10%,3%
Net Profit +,-79,-116,132,-93,-127,-240,-205,-259,113,-195,-89,99,557
EPS in Rs,-0.51,-0.74,0.83,-0.59,-0.80,-1.52,-1.29,-1.64,0.71,-1.23,-0.56,0.62,3.52
Raw PDF,,,,,,,,,,,,,
