0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,883,"1,012","1,042","1,116","1,106","1,115","1,056","1,095","1,155","1,166","1,144","1,216","1,291"
Expenses +,680,881,824,889,875,919,808,815,867,877,847,909,"1,026"
Operating Profit,203,131,219,226,230,195,248,279,288,289,296,307,264
OPM %,23%,13%,21%,20%,21%,18%,23%,26%,25%,25%,26%,25%,20%
Other Income +,8,10,9,10,8,10,8,10,13,16,12,6,8
Interest,13,15,19,21,6,32,24,27,31,29,26,23,27
Depreciation,21,22,24,27,31,31,33,37,38,49,45,50,52
Profit before tax,177,104,185,188,201,142,199,225,231,227,237,240,193
Tax %,26%,27%,26%,26%,26%,27%,26%,25%,26%,27%,25%,26%,26%
Net Profit +,132,76,138,139,148,104,148,168,172,165,177,178,143
EPS in Rs,1.20,0.69,1.25,1.27,1.35,0.95,1.34,1.53,1.57,1.50,1.61,1.62,1.30
Raw PDF,,,,,,,,,,,,,
