0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,327,317,299,306,309,292,306,329,336,360,380,418,438
Expenses +,90,124,119,125,127,135,138,139,142,156,162,168,166
Operating Profit,237,193,180,181,182,157,168,190,194,203,218,250,272
OPM %,73%,61%,60%,59%,59%,54%,55%,58%,58%,57%,57%,60%,62%
Other Income +,19,24,-31,76,49,32,77,55,79,74,94,95,38
Interest,1,1,1,1,1,1,1,2,1,2,1,1,2
Depreciation,9,9,9,8,8,8,6,9,9,10,9,10,11
Profit before tax,246,206,139,248,221,180,238,235,263,266,302,334,298
Tax %,25%,25%,27%,23%,25%,25%,23%,25%,21%,22%,23%,28%,25%
Net Profit +,183,156,102,190,165,134,183,176,209,207,234,241,222
EPS in Rs,6.37,5.40,3.52,6.60,5.73,4.67,6.34,6.13,7.24,7.17,8.11,8.37,7.71
Raw PDF,,,,,,,,,,,,,
