0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,111,108,105,116,137,136,137,134,139,156,163,176,188
Expenses +,98,96,93,99,113,114,120,113,122,137,138,152,163
Operating Profit,13,13,12,17,24,22,18,21,17,18,25,24,25
OPM %,12%,12%,12%,15%,17%,16%,13%,16%,12%,12%,16%,14%,13%
Other Income +,6,8,4,5,7,7,5,5,10,15,14,15,17
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,2,2,2,2,2,2,2,2,2,2,2,2,2
Profit before tax,17,18,14,20,29,27,21,24,25,31,38,36,39
Tax %,28%,28%,27%,26%,25%,25%,26%,25%,26%,25%,26%,25%,26%
Net Profit +,12,13,10,15,21,20,16,18,19,24,28,27,29
EPS in Rs,0.94,1.00,0.77,1.11,1.61,1.52,1.17,1.36,1.32,1.69,2.01,1.94,2.08
Raw PDF,,,,,,,,,,,,,
