0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,809,766,850,837,875,849,"1,015",945,"1,085",926,"1,077","1,129","1,102"
Expenses +,571,578,664,676,715,704,738,672,758,699,761,826,766
Operating Profit,238,187,186,161,159,145,277,274,327,227,316,303,336
OPM %,29%,24%,22%,19%,18%,17%,27%,29%,30%,25%,29%,27%,31%
Other Income +,28,28,35,78,31,37,31,52,14,34,28,40,33
Interest,1,7,1,1,3,1,1,2,2,1,1,1,2
Depreciation,31,30,31,32,32,32,32,33,33,33,33,33,35
Profit before tax,234,178,190,207,155,148,275,290,305,226,311,309,332
Tax %,17%,24%,21%,19%,20%,21%,23%,27%,28%,28%,24%,24%,24%
Net Profit +,195,135,150,167,124,117,212,212,220,163,236,235,252
EPS in Rs,15.00,10.53,11.74,13.05,9.67,9.15,16.55,16.57,17.18,12.70,18.90,18.81,20.21
Raw PDF,,,,,,,,,,,,,
