0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,238","1,318","1,177","1,354","1,310","1,307","1,332","1,479","1,588","1,475","1,476","1,580","1,406"
Expenses +,979,"1,152","1,152","1,109","1,086","1,138","1,167","1,271","1,251","1,186","1,184","1,321","1,226"
Operating Profit,259,166,26,245,224,169,166,207,337,288,291,259,180
OPM %,21%,13%,2%,18%,17%,13%,12%,14%,21%,20%,20%,16%,13%
Other Income +,15,12,1,0,1,2,12,9,3,7,3,29,15
Interest,4,6,9,12,15,14,14,15,15,10,13,18,22
Depreciation,56,122,67,67,66,74,66,67,69,69,69,70,70
Profit before tax,214,50,-49,167,144,84,98,134,257,216,213,200,104
Tax %,17%,16%,0%,12%,17%,-55%,0%,0%,9%,7%,17%,17%,17%
Net Profit +,177,42,-49,146,119,131,98,134,233,202,176,166,86
EPS in Rs,8.99,2.11,-2.51,7.45,6.06,6.64,4.96,6.81,11.87,10.27,8.96,8.43,4.37
Raw PDF,,,,,,,,,,,,,
