0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,12,12,24,24,24,24,24,24,24,24,24,24,24
Reserves,"2,291","2,703","3,077","3,576","4,369","4,861","5,441","6,257","7,602","8,720","9,326","10,531","11,747"
Borrowings +,"1,229",947,"1,103",380,368,548,503,"1,209","1,384","2,294","1,182","1,005",619
Other Liabilities +,479,540,657,843,"1,137","1,381","1,324","1,616","1,763","2,132","2,200","2,478","2,736"
Total Liabilities,"4,011","4,202","4,861","4,822","5,898","6,814","7,292","9,106","10,773","13,169","12,731","14,038","15,125"
Fixed Assets +,832,909,870,875,"1,126","1,471","1,606","1,837","1,758","1,882","1,825","1,782","1,661"
CWIP,0,0,96,147,218,299,382,314,323,232,229,91,66
Investments,579,940,"1,071","1,158","1,518","1,544","1,696","1,956","2,152","2,529","3,006","2,829","3,683"
Other Assets +,"2,600","2,352","2,824","2,644","3,037","3,500","3,609","4,999","6,539","8,526","7,672","9,336","9,715"
Total Assets,"4,011","4,202","4,861","4,822","5,898","6,814","7,292","9,106","10,773","13,169","12,731","14,038","15,125"
