0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,181","2,006","2,058","2,461","2,297","2,238","2,253","2,635","2,009","2,365","2,500","2,355","2,287"
Expenses +,"1,709","1,807","1,875","2,056","1,841","1,906","1,919","1,980","1,517","1,958","1,879","1,714","1,629"
Operating Profit,472,200,183,406,456,332,334,655,492,408,621,640,658
OPM %,22%,10%,9%,16%,20%,15%,15%,25%,25%,17%,25%,27%,29%
Other Income +,63,54,55,74,61,77,65,62,93,71,106,176,216
Interest,7,13,22,20,23,22,21,19,21,21,21,17,21
Depreciation,58,55,57,58,58,57,58,59,57,69,64,61,68
Profit before tax,470,186,160,402,436,330,319,639,508,389,641,738,785
Tax %,7%,59%,12%,13%,11%,23%,15%,-1%,1%,16%,9%,5%,8%
Net Profit +,437,77,140,351,389,255,271,647,504,325,583,698,723
EPS in Rs,36.56,6.43,11.72,29.33,32.53,21.31,22.70,54.07,42.17,27.18,48.78,58.34,60.48
Raw PDF,,,,,,,,,,,,,
