0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,959","3,437","4,211","4,618","5,317","6,059","6,793","6,839","7,150","8,696","10,390","11,260","12,228"
Expenses +,"2,508","2,876","3,507","3,793","4,465","5,174","5,838","5,741","6,033","7,666","8,939","9,635","10,533"
Operating Profit,451,560,704,825,853,885,955,"1,099","1,117","1,030","1,450","1,625","1,695"
OPM %,15%,16%,17%,18%,16%,15%,14%,16%,16%,12%,14%,14%,14%
Other Income +,37,42,41,44,47,65,43,55,86,71,27,98,213
Interest,0,1,0,6,6,5,7,12,11,15,30,33,42
Depreciation,66,65,134,141,191,230,261,301,319,396,450,479,485
Profit before tax,422,537,610,723,702,714,730,841,873,690,997,"1,211","1,380"
Tax %,32%,32%,33%,32%,32%,34%,34%,21%,26%,26%,27%,25%,
Net Profit +,287,367,411,492,478,471,483,661,647,511,731,906,"1,025"
EPS in Rs,16.79,21.51,24.05,28.78,28.01,27.59,28.31,38.69,37.87,29.93,42.78,49.49,56.01
Dividend Payout %,15%,15%,15%,15%,15%,15%,25%,28%,29%,15%,14%,20%,
