0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,592,674,677,741,745,820,803,"1,043","1,054","1,347","1,394","1,501","1,246"
Expenses +,360,381,414,427,423,437,485,599,654,812,922,816,736
Operating Profit,232,292,264,314,322,383,318,444,400,535,473,685,510
OPM %,39%,43%,39%,42%,43%,47%,40%,43%,38%,40%,34%,46%,41%
Other Income +,8,1,1,1,11,5,3,2,2,2,5,2,2
Interest,18,18,20,24,25,21,18,26,36,56,56,75,82
Depreciation,5,5,6,7,8,9,9,11,13,16,22,25,26
Profit before tax,218,270,239,284,300,359,294,408,353,463,400,587,405
Tax %,25%,25%,25%,25%,24%,26%,26%,25%,26%,25%,26%,25%,26%
Net Profit +,162,202,178,212,227,265,219,305,263,346,297,437,301
EPS in Rs,19.60,24.41,21.46,25.46,27.19,31.72,26.13,36.39,31.30,41.19,33.00,48.51,33.35
Raw PDF,,,,,,,,,,,,,
