0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,539","1,421","1,530","1,716","1,639","1,641","1,688","1,866","1,824","1,895","1,937","2,135","2,055"
Expenses +,"1,156","1,089","1,141","1,263","1,222","1,218","1,271","1,387","1,374","1,444","1,466","1,595","1,543"
Operating Profit,383,332,388,453,417,423,418,479,450,450,471,540,512
OPM %,25%,23%,25%,26%,25%,26%,25%,26%,25%,24%,24%,25%,25%
Other Income +,32,24,10,43,55,43,18,65,52,46,27,121,108
Interest,61,58,60,58,60,61,61,60,61,69,64,65,62
Depreciation,88,105,89,92,89,97,93,93,97,115,103,108,108
Profit before tax,266,193,250,346,323,309,282,391,344,312,332,488,449
Tax %,34%,21%,-33%,19%,24%,26%,24%,25%,24%,24%,24%,24%,24%
Net Profit +,175,154,333,279,246,227,214,295,263,239,252,370,342
EPS in Rs,12.20,10.69,23.17,19.41,17.08,15.78,14.89,20.50,18.28,16.61,17.51,25.71,23.76
Raw PDF,,,,,,,,,,,,,
