0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,1,1,53,189,380,530,595,760,747,"1,116","1,534","2,036","2,292"
Expenses +,8,12,114,227,427,519,554,686,704,963,"1,240","1,671","1,851"
Operating Profit,-7,-11,-60,-38,-47,12,41,74,42,153,293,366,441
OPM %,-762%,"-1,256%",-114%,-20%,-12%,2%,7%,10%,6%,14%,19%,18%,19%
Other Income +,10,86,40,51,390,14,83,113,21,82,50,48,"6,057"
Interest,0,3,34,135,228,54,11,33,36,47,56,83,83
Depreciation,1,1,22,48,68,59,64,89,95,99,104,121,142
Profit before tax,2,72,-77,-170,47,-87,49,65,-68,90,182,209,"6,272"
Tax %,0%,2%,1%,0%,0%,0%,1%,6%,1%,-0%,5%,25%,
Net Profit +,2,70,-78,-170,47,-87,48,61,-69,90,173,157,"6,140"
EPS in Rs,0.15,1.86,-2.00,-4.21,1.16,-1.73,0.95,1.21,-1.38,1.81,3.47,3.14,122.92
Dividend Payout %,0%,89%,0%,0%,0%,0%,0%,0%,0%,0%,0%,64%,
