0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,295,291,328,378,399,429,457,509,524,546,566,605,576
Expenses +,246,247,272,301,328,344,374,423,433,446,464,476,465
Operating Profit,49,44,56,77,71,85,83,86,92,100,101,129,111
OPM %,17%,15%,17%,20%,18%,20%,18%,17%,17%,18%,18%,21%,19%
Other Income +,7,55,9,18,11,12,11,20,13,4,"5,992",47,14
Interest,12,11,11,12,14,15,16,21,21,21,21,19,22
Depreciation,25,24,24,25,26,29,26,29,31,36,35,37,36
Profit before tax,19,63,30,57,41,54,53,57,53,47,"6,037",120,68
Tax %,0%,-0%,0%,0%,17%,4%,0%,-4%,0%,117%,0%,25%,27%
Net Profit +,19,63,30,57,35,52,53,59,53,-8,"6,008",90,50
EPS in Rs,0.39,1.26,0.60,1.14,0.69,1.04,1.06,1.18,1.06,-0.16,120.28,1.80,1.00
Raw PDF,,,,,,,,,,,,,
