0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,174,173,142,208,180,179,191,269,320,479,545,747,733
Expenses +,108,104,112,127,124,93,118,145,173,367,301,356,314
Operating Profit,66,69,30,82,56,85,72,124,147,112,245,391,418
OPM %,38%,40%,21%,39%,31%,48%,38%,46%,46%,23%,45%,52%,57%
Other Income +,6,6,6,7,6,14,518,8,7,6,6,7,-45
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,10,11,9,10,14,16,17,18,20,21,19,23,24
Profit before tax,62,64,28,79,48,83,573,115,134,97,232,375,349
Tax %,34%,16%,23%,29%,36%,30%,12%,37%,29%,18%,25%,25%,25%
Net Profit +,41,54,21,56,31,59,507,72,95,79,173,282,260
EPS in Rs,3.06,3.98,1.58,4.15,2.28,4.32,37.44,5.31,7.03,5.85,12.80,20.81,19.22
Raw PDF,,,,,,,,,,,,,
