0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"19,980","20,088","21,593","22,574","21,755","25,210","30,358","29,919","27,741","33,145","36,428","44,685","49,347"
Expenses +,"16,335","15,974","17,461","17,780","17,323","20,362","25,157","24,809","22,800","27,877","29,864","35,883","39,393"
Operating Profit,"3,645","4,113","4,132","4,794","4,432","4,848","5,201","5,110","4,942","5,268","6,563","8,802","9,954"
OPM %,18%,20%,19%,21%,20%,19%,17%,17%,18%,16%,18%,20%,20%
Other Income +,788,699,227,"1,062","1,213","1,251","1,772","1,720","1,263","1,516","1,167","1,423","1,178"
Interest,1,0,6,1,1,1,4,3,7,9,39,54,74
Depreciation,167,180,267,307,307,315,266,246,259,269,282,350,380
Profit before tax,"4,266","4,632","4,085","5,547","5,336","5,783","6,703","6,580","5,939","6,505","7,409","9,822","10,679"
Tax %,29%,30%,31%,29%,28%,30%,30%,22%,23%,23%,24%,24%,
Net Profit +,"3,044","3,243","2,814","3,930","3,828","4,068","4,675","5,100","4,555","5,019","5,628","7,479","8,038"
EPS in Rs,105.18,112.08,97.24,135.80,132.27,140.59,161.57,176.25,157.40,173.44,198.89,267.88,287.88
Dividend Payout %,43%,45%,51%,40%,42%,43%,37%,68%,89%,81%,70%,30%,
