0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"9,022","7,975","8,005","10,203","9,315","8,905","10,310","10,777","12,114","11,485","11,928","13,127","12,807"
Expenses +,"7,650","6,609","6,708","8,444","7,538","7,188","8,356","8,644","9,684","9,178","9,513","10,475","10,226"
Operating Profit,"1,372","1,366","1,297","1,759","1,777","1,717","1,954","2,133","2,430","2,306","2,415","2,652","2,581"
OPM %,15%,17%,16%,17%,19%,19%,19%,20%,20%,20%,20%,20%,20%
Other Income +,273,604,319,333,269,260,346,361,346,349,321,173,335
Interest,2,3,4,11,8,16,12,7,12,23,21,16,14
Depreciation,70,70,67,67,74,74,84,88,88,91,94,96,100
Profit before tax,"1,573","1,897","1,545","2,014","1,964","1,886","2,205","2,400","2,676","2,542","2,622","2,714","2,801"
Tax %,23%,23%,24%,24%,24%,24%,24%,24%,24%,24%,24%,26%,25%
Net Profit +,"1,214","1,469","1,173","1,530","1,491","1,433","1,665","1,836","2,042","1,936","1,988","2,005","2,109"
EPS in Rs,41.96,50.76,40.55,52.87,52.71,50.64,58.83,64.89,72.11,69.35,71.22,71.80,75.51
Raw PDF,,,,,,,,,,,,,
