0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,222,30,341,671,33,31,595,"1,011",49,44,909,"1,217",71
Expenses +,45,28,44,46,43,37,54,52,49,39,59,60,65
Operating Profit,177,2,297,625,-10,-6,541,959,0,5,850,"1,157",6
OPM %,80%,6%,87%,93%,-31%,-19%,91%,95%,1%,10%,93%,95%,8%
Other Income +,50,19,16,18,17,20,8,8,8,11,9,10,10
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,225,21,312,643,6,14,549,967,7,14,857,"1,166",15
Tax %,25%,18%,25%,24%,20%,31%,26%,22%,40%,45%,26%,22%,27%
Net Profit +,168,17,233,485,5,9,404,754,4,8,633,908,11
EPS in Rs,1.06,0.11,1.46,3.05,0.03,0.06,2.53,4.73,0.03,0.05,3.96,5.68,0.07
Raw PDF,,,,,,,,,,,,,
