0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,85,79,84,"1,624",91,77,98,"1,664",101,"1,249",126,"1,129",120
Expenses +,25,25,32,30,33,24,32,28,31,31,41,44,29
Operating Profit,59,54,52,"1,593",58,53,67,"1,636",70,"1,218",84,"1,085",91
OPM %,70%,68%,62%,98%,64%,68%,68%,98%,70%,98%,67%,96%,76%
Other Income +,14,16,13,13,16,19,15,15,24,10,14,14,31
Interest,1,1,1,1,1,5,1,1,1,1,0,0,0
Depreciation,8,8,8,8,8,8,8,8,8,8,8,8,8
Profit before tax,65,61,56,"1,598",66,59,73,"1,643",86,"1,219",90,"1,090",114
Tax %,25%,24%,23%,2%,25%,24%,25%,4%,23%,1%,26%,4%,26%
Net Profit +,49,46,43,"1,574",49,45,55,"1,571",66,"1,204",66,"1,051",84
EPS in Rs,4.41,4.14,3.88,141.43,4.42,4.06,4.97,141.18,5.89,108.22,5.93,94.45,7.55
Raw PDF,,,,,,,,,,,,,
