0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,030","2,374","2,646","2,704","2,142","2,318","2,120","2,226","2,280","2,673","2,690","2,436","2,541"
Expenses +,"1,587","1,874","2,191","2,260","1,885","1,847","1,639","1,707","1,741","2,008","2,039","1,856","1,953"
Operating Profit,443,500,455,445,257,471,481,518,539,665,650,580,588
OPM %,22%,21%,17%,16%,12%,20%,23%,23%,24%,25%,24%,24%,23%
Other Income +,112,108,102,226,43,54,104,107,66,171,159,90,187
Interest,2,2,3,4,14,25,21,23,35,30,21,40,15
Depreciation,115,117,126,134,145,151,154,159,159,172,162,165,171
Profit before tax,439,488,429,532,142,348,411,444,411,634,627,465,589
Tax %,25%,23%,25%,24%,30%,27%,24%,24%,25%,24%,24%,25%,25%
Net Profit +,329,374,320,404,100,256,312,335,309,481,477,350,439
EPS in Rs,17.00,19.33,16.54,20.89,5.15,13.22,16.15,17.35,15.99,24.87,24.69,18.08,22.73
Raw PDF,,,,,,,,,,,,,
