0,1,2,3,4,5,6,7,8,9,10,11
Equity Capital,501,"1,095","1,095","1,193","1,193","1,610","1,611","1,611","1,611","1,611","1,611"
Reserves,1,"2,239","3,351","8,189","10,009","13,585","15,798","15,770","17,973","19,999","22,040"
Deposits,0,"12,089","23,229","33,869","43,232","57,082","77,972","96,331","108,065","135,202","142,510"
Borrowings +,0,"3,052","1,029",285,521,"16,379","16,960","19,921","24,711","16,372","8,307"
Other Liabilities +,25,"13,370","24,761","34,643","44,719","60,143","80,648","101,693","111,742","139,860","147,810"
Total Liabilities,527,"19,756","30,236","44,310","56,442","91,718","115,016","138,995","156,037","177,842","179,768"
Fixed Assets +,0,237,252,238,222,347,432,415,509,959,"1,171"
CWIP,108,0,0,0,109,22,55,173,346,214,0
Investments,0,"3,758","5,516","8,372","10,037","15,352","25,155","29,079","32,366","29,288","30,847"
Other Assets +,418,"15,761","24,468","35,700","46,073","75,997","89,374","109,329","122,817","147,381","147,750"
Total Assets,527,"19,756","30,236","44,310","56,442","91,718","115,016","138,995","156,037","177,842","179,768"
