0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,597,643,666,817,"1,055","1,744","2,760","3,278","3,278","4,104","4,104","4,553","4,553"
Reserves,"23,322","29,280","30,781","31,500","31,432","33,797","43,559","40,539","45,408","51,027","54,866","64,327","67,255"
Deposits,"389,552","486,186","542,769","513,005","540,032","520,854","520,862","555,505","627,114","627,896","669,586","737,920","775,181"
Borrowings +,"27,656","39,216","29,195","51,083","39,406","43,589","44,241","39,752","32,464","26,760","64,979","80,924","118,816"
Other Liabilities +,"400,950","503,925","557,926","526,514","554,416","530,445","534,660","573,425","644,703","652,722","691,606","762,793","796,233"
Total Liabilities,"452,523","573,064","618,568","609,914","626,309","609,575","625,220","656,994","725,853","734,614","815,556","912,598","986,857"
Fixed Assets +,"2,779","5,644","5,773","8,290","8,265","8,107","8,720","8,690","8,550","9,490","9,852","10,079","10,297"
CWIP,91,143,113,191,197,158,200,292,364,285,109,148,0
Investments,"94,613","114,152","119,792","118,849","127,827","137,111","147,639","158,573","187,253","174,448","204,398","227,144","269,744"
Other Assets +,"355,040","453,125","492,890","482,585","490,020","464,198","468,661","489,439","529,686","550,390","601,197","675,227","706,817"
Total Assets,"452,523","573,064","618,568","609,914","626,309","609,575","625,220","656,994","725,853","734,614","815,556","912,598","986,857"
