0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"3,282","3,426","3,457","3,815","4,129","4,495","4,789","5,068","5,171","5,467","5,875","6,017","6,325"
Interest,"1,755","1,814","1,772","1,928","2,149","2,308","2,449","2,636","2,706","2,882","3,076","3,211","3,381"
Expenses +,"1,812","1,321","1,349","1,507","1,622","2,098","1,881","2,164","2,076","2,339","2,349","2,219","2,269"
Financing Profit,-285,291,336,380,358,89,458,268,390,246,450,588,675
Financing Margin %,-9%,8%,10%,10%,9%,2%,10%,5%,8%,4%,8%,10%,11%
Other Income +,611,522,317,502,641,822,629,668,680,"1,022",894,792,788
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,326,814,653,883,998,911,"1,087",936,"1,069","1,267","1,344","1,380","1,462"
Tax %,1%,56%,31%,39%,22%,8%,19%,2%,3%,4%,4%,4%,4%
Net Profit +,325,355,452,535,775,840,882,920,"1,036","1,218","1,293","1,327","1,406"
EPS in Rs,0.48,0.53,0.67,0.79,1.15,1.25,1.25,1.30,1.46,1.72,1.83,1.87,1.83
Gross NPA %,4.73%,3.94%,3.74%,3.40%,2.94%,2.47%,2.28%,2.19%,2.04%,1.88%,1.85%,1.84%,1.80%
Net NPA %,1.24%,0.97%,0.88%,0.68%,0.47%,0.25%,0.24%,0.23%,0.22%,0.20%,0.20%,0.20%,0.20%
Raw PDF,,,,,,,,,,,,,
