0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,841,665,943,830,900,779,958,819,903,798,945,837,918
Expenses +,673,503,698,669,694,599,718,637,722,618,759,662,719
Operating Profit,169,162,245,161,206,179,240,182,182,179,185,175,199
OPM %,20%,24%,26%,19%,23%,23%,25%,22%,20%,22%,20%,21%,22%
Other Income +,14,19,9,8,8,13,13,-25,11,22,150,17,-1
Interest,23,25,25,27,29,27,28,28,29,31,31,32,31
Depreciation,62,72,69,74,75,76,81,82,86,90,87,90,90
Profit before tax,97,84,160,68,110,88,144,47,77,80,217,70,77
Tax %,26%,26%,25%,25%,24%,26%,25%,26%,26%,25%,20%,25%,24%
Net Profit +,72,63,119,51,83,66,108,34,57,60,174,52,58
EPS in Rs,5.63,4.89,9.29,3.98,6.47,5.10,8.39,2.68,4.46,4.69,13.57,4.07,4.53
Raw PDF,,,,,,,,,,,,,
