0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,602","1,674","1,759","1,864","1,952","1,997","2,127","2,249","2,263","2,329","2,338","2,247","2,096"
Expenses +,"1,194","1,243","1,324","1,411","1,417","1,509","1,579","1,643","1,600","1,669","1,687","1,621","1,486"
Operating Profit,408,431,435,453,535,488,549,607,663,659,651,625,610
OPM %,25%,26%,25%,24%,27%,24%,26%,27%,29%,28%,28%,28%,29%
Other Income +,132,64,23,47,42,-2,47,40,35,25,-101,48,30
Interest,12,41,26,36,85,66,71,73,81,63,70,64,57
Depreciation,103,104,106,107,108,105,109,113,112,108,109,108,110
Profit before tax,425,350,325,358,384,315,417,462,504,513,371,502,473
Tax %,21%,25%,25%,25%,25%,22%,25%,25%,25%,24%,27%,28%,27%
Net Profit +,337,262,244,268,289,245,312,346,378,390,269,361,346
EPS in Rs,7.25,5.63,5.23,5.76,6.21,5.25,6.69,7.43,8.11,8.37,5.79,7.76,7.24
Raw PDF,,,,,,,,,,,,,
