0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"95,086","104,245","121,047","114,808","119,158","118,112","112,978","102,986","115,466","116,555","113,096","102,756","113,136"
Expenses +,"90,030","98,258","126,912","113,374","114,924","106,958","97,168","90,078","109,268","107,342","107,446","98,244","105,555"
Operating Profit,"5,057","5,986","-5,865","1,434","4,234","11,154","15,810","12,908","6,198","9,213","5,650","4,512","7,580"
OPM %,5%,6%,-5%,1%,4%,9%,14%,13%,5%,8%,5%,4%,7%
Other Income +,704,586,442,557,452,-627,492,771,709,"-1,329",506,924,829
Interest,565,646,616,811,978,812,679,768,502,524,443,470,429
Depreciation,"1,389","1,494","1,613","1,557","1,582","1,596","1,609","1,600","1,824","1,717","1,681","1,773","1,804"
Profit before tax,"3,807","4,432","-7,652",-376,"2,126","8,118","14,013","11,312","4,580","5,643","4,032","3,194","6,176"
Tax %,26%,44%,-18%,-19%,8%,20%,25%,25%,26%,25%,25%,25%,25%
Net Profit +,"2,828","2,501","-6,263",-304,"1,960","6,478","10,551","8,501","3,397","4,224","3,015","2,397","4,649"
EPS in Rs,6.52,5.76,-14.44,-0.70,4.52,14.93,24.32,19.59,7.83,9.74,6.95,5.53,10.72
Raw PDF,,,,,,,,,,,,,
