0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,938","2,202","2,242","2,302","2,588","2,419","1,786","1,988","2,028","1,738","1,993","2,127","2,131"
Expenses +,"1,532","1,729","1,812","1,880","1,996","2,101","1,575","1,702","1,716","1,677","1,969","1,864","1,965"
Operating Profit,406,473,430,422,592,318,210,286,312,61,24,264,166
OPM %,21%,21%,19%,18%,23%,13%,12%,14%,15%,4%,1%,12%,8%
Other Income +,38,61,127,279,99,125,422,366,150,187,"3,134",206,826
Interest,1,1,1,2,4,1,3,1,0,0,70,199,220
Depreciation,95,124,128,140,151,136,92,98,104,108,117,121,125
Profit before tax,347,409,428,559,536,306,537,553,359,140,"2,971",150,648
Tax %,21%,21%,16%,34%,3%,22%,8%,20%,22%,38%,4%,21%,
Net Profit +,276,324,361,369,519,238,493,441,280,86,"2,848",119,602
EPS in Rs,2.30,2.70,3.01,3.07,4.33,1.99,4.11,3.67,2.34,0.72,23.72,0.99,5.02
Dividend Payout %,54%,31%,28%,27%,12%,25%,12%,0%,0%,70%,6%,50%,
