0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,603","3,016","3,210","3,268","3,345","3,720","4,424","4,747","4,442","4,791","5,441","5,697","5,106"
Expenses +,"2,210","2,759","2,908","3,044","2,974","3,376","4,018","4,072","3,832","4,304","5,175","5,151","4,790"
Operating Profit,393,257,302,224,372,344,406,675,610,487,266,546,315
OPM %,15%,9%,9%,7%,11%,9%,9%,14%,14%,10%,5%,10%,6%
Other Income +,127,113,142,207,137,65,81,82,111,63,77,76,75
Interest,65,86,78,82,139,165,178,185,130,101,107,111,102
Depreciation,104,133,153,148,147,146,149,151,161,177,187,214,213
Profit before tax,351,152,213,201,223,98,160,421,430,272,48,296,75
Tax %,23%,15%,18%,17%,4%,-18%,14%,25%,0%,26%,6%,33%,
Net Profit +,270,130,175,168,214,115,138,316,429,203,45,198,34
EPS in Rs,35.04,16.85,22.78,21.78,27.79,14.95,17.89,41.02,55.65,26.35,5.90,25.73,4.45
Dividend Payout %,20%,36%,26%,28%,23%,43%,42%,18%,18%,38%,42%,39%,
