0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,715,930,"1,246","1,262","1,320",809,"1,002","1,462","1,641","2,049","2,417","2,645","2,707"
Expenses +,542,682,"1,006",971,"1,058",678,837,"1,193","1,285","1,647","2,098","2,263","2,331"
Operating Profit,174,248,240,291,262,131,165,270,356,402,320,381,376
OPM %,24%,27%,19%,23%,20%,16%,16%,18%,22%,20%,13%,14%,14%
Other Income +,6,29,23,28,16,116,87,35,12,74,33,98,83
Interest,8,20,22,11,9,4,5,12,10,11,10,7,8
Depreciation,38,40,69,58,71,35,39,69,70,69,76,76,73
Profit before tax,134,218,171,249,198,209,207,223,287,397,267,396,379
Tax %,23%,22%,11%,19%,15%,15%,19%,37%,33%,25%,25%,25%,
Net Profit +,103,170,152,203,169,178,168,141,194,296,200,299,287
EPS in Rs,5.34,8.74,7.73,10.29,8.57,8.99,6.12,5.09,6.98,10.59,7.29,10.83,10.40
Dividend Payout %,17%,12%,14%,20%,24%,26%,33%,39%,50%,42%,48%,60%,
