0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,767","2,790","3,081","3,530","4,110","4,303","4,784","4,786","3,842","5,395","7,353","8,999","10,644"
Expenses +,"2,668","2,639","2,906","3,340","3,909","4,072","4,485","4,571","3,650","5,104","6,904","8,415","9,928"
Operating Profit,99,151,174,190,200,231,299,215,192,292,449,584,716
OPM %,4%,5%,6%,5%,5%,5%,6%,4%,5%,5%,6%,6%,7%
Other Income +,37,10,51,54,34,33,-5,69,62,36,194,39,52
Interest,50,50,43,36,31,23,45,32,68,51,58,56,45
Depreciation,33,35,39,55,55,61,69,84,88,80,80,75,92
Profit before tax,53,76,143,153,148,181,180,168,98,196,505,492,631
Tax %,2%,0%,-7%,17%,24%,27%,32%,28%,33%,35%,27%,25%,
Net Profit +,52,76,153,127,112,132,122,121,66,128,367,368,471
EPS in Rs,2.88,4.22,8.48,7.05,5.86,6.89,6.32,6.28,3.42,6.63,19.03,17.87,22.91
Dividend Payout %,52%,47%,29%,46%,64%,73%,79%,80%,58%,75%,32%,39%,
