0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,109","3,311","3,544","3,662","3,660","4,063","4,158","4,130","4,205","4,233","4,317","4,394","4,466"
Expenses +,"2,752","2,870","3,095","3,230","3,256","3,541","3,690","3,639","3,627","3,676","3,797","3,834","3,883"
Operating Profit,358,441,450,431,404,522,468,491,578,557,520,560,583
OPM %,12%,13%,13%,12%,11%,13%,11%,12%,14%,13%,12%,13%,13%
Other Income +,80,87,57,150,131,136,188,939,214,226,179,257,142
Interest,17,7,4,2,2,5,31,12,4,4,3,2,6
Depreciation,85,89,65,92,108,121,92,101,117,119,86,90,101
Profit before tax,336,432,438,487,425,533,532,"1,317",671,661,611,726,618
Tax %,30%,19%,24%,24%,25%,25%,23%,24%,23%,15%,24%,26%,26%
Net Profit +,235,351,334,372,319,399,409,999,518,564,466,536,458
EPS in Rs,79.64,118.87,113.31,126.26,108.13,135.28,138.67,338.68,175.67,191.40,157.83,181.70,155.36
Raw PDF,,,,,,,,,,,,,
