0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,43,55,62,67,59,66,75,80,76,85,86,84,96
Expenses +,28,30,31,37,32,39,38,40,42,49,46,50,57
Operating Profit,15,25,31,30,28,27,37,39,34,36,41,34,39
OPM %,35%,46%,50%,45%,46%,40%,50%,49%,45%,42%,47%,41%,40%
Other Income +,6,11,6,7,11,11,8,8,12,12,10,10,9
Interest,0,1,1,0,0,0,0,0,0,0,0,0,0
Depreciation,2,2,2,2,2,1,2,2,2,2,3,3,3
Profit before tax,19,34,35,36,36,36,43,45,43,46,48,41,45
Tax %,17%,30%,28%,27%,18%,24%,23%,24%,25%,18%,22%,24%,28%
Net Profit +,16,24,25,26,30,28,33,34,32,38,37,31,33
EPS in Rs,2.96,4.43,4.72,4.87,5.56,5.15,6.20,6.31,5.98,6.99,6.89,5.75,5.99
Raw PDF,,,,,,,,,,,,,
