0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,841,992,"1,086","1,208","1,111","1,142","1,102","1,188","1,137","1,164","1,144","1,136","1,119"
Expenses +,742,854,932,"1,040",950,967,924,"1,002",963,973,959,951,948
Operating Profit,99,138,154,168,161,175,178,186,174,192,185,185,170
OPM %,12%,14%,14%,14%,14%,15%,16%,16%,15%,16%,16%,16%,15%
Other Income +,-7,94,9,5,51,107,13,16,15,109,23,20,21
Interest,4,4,2,3,5,2,3,4,3,5,3,2,2
Depreciation,30,31,32,34,36,34,33,34,35,36,35,37,36
Profit before tax,58,198,129,135,172,247,156,164,150,260,170,166,153
Tax %,26%,15%,25%,26%,15%,16%,25%,25%,24%,17%,25%,25%,24%
Net Profit +,43,169,97,100,146,208,117,123,115,217,127,124,116
EPS in Rs,1.14,4.45,2.56,2.65,3.85,5.47,3.09,3.24,3.02,5.72,3.34,3.26,3.06
Raw PDF,,,,,,,,,,,,,
