0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,329,325,370,361,389,375,407,408,438,396,422,406,441
Expenses +,271,257,312,311,321,294,335,304,357,322,360,347,386
Operating Profit,59,67,58,49,68,81,72,104,81,75,62,59,55
OPM %,18%,21%,16%,14%,17%,22%,18%,26%,18%,19%,15%,15%,12%
Other Income +,121,62,72,60,78,69,159,78,190,39,97,176,189
Interest,3,2,1,1,1,1,1,1,1,0,0,0,2
Depreciation,22,17,16,17,17,17,16,17,17,10,10,10,15
Profit before tax,155,111,113,91,128,132,213,164,254,104,149,225,228
Tax %,19%,20%,15%,15%,14%,17%,10%,18%,9%,23%,14%,11%,9%
Net Profit +,126,88,96,77,110,110,193,135,231,80,128,201,206
EPS in Rs,17.32,12.07,13.13,10.52,15.03,15.01,26.39,18.41,31.60,10.98,17.56,27.49,28.20
Raw PDF,,,,,,,,,,,,,
