0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,443,461,475,543,597,733,753,"1,030","1,647","1,814","1,814","1,814","1,814"
Reserves,"24,435","29,159","31,384","31,060","33,088","34,872","35,424","38,263","57,238","64,297","71,793","85,140","95,262"
Deposits,"364,567","431,999","485,917","479,792","495,275","524,772","599,033","625,351","1,010,875","1,086,409","1,179,219","1,312,367","1,347,347"
Borrowings +,"11,573","15,955","13,594","26,873","39,504","38,809","40,992","42,762","49,984","46,285","58,090","57,592","94,782"
Other Liabilities +,"375,892","446,347","502,547","494,484","510,330","542,473","617,597","641,820","1,044,807","1,115,709","1,214,035","1,346,994","1,383,849"
Total Liabilities,"412,343","491,922","548,001","552,961","583,519","616,886","694,767","723,875","1,153,675","1,228,105","1,345,732","1,491,541","1,575,708"
Fixed Assets +,"2,863","6,642","6,949","7,198","7,168","8,319","8,410","8,276","11,204","11,354","10,231","12,228","12,249"
CWIP,0,0,0,0,0,0,0,0,2,2,0,0,0
Investments,"121,133","126,828","142,061","142,309","150,266","144,054","152,985","176,245","261,690","282,013","319,038","357,454","372,945"
Other Assets +,"288,347","358,452","398,990","403,453","426,085","464,514","533,371","539,354","880,778","934,736","1,016,463","1,121,858","1,190,514"
Total Assets,"412,343","491,922","548,001","552,961","583,519","616,886","694,767","723,875","1,153,675","1,228,105","1,345,732","1,491,541","1,575,708"
