0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,15,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,29,47,79,113,185,280,417,585,744,915,"1,125","1,375","1,520"
Borrowings +,5,3,2,2,1,1,1,2,1,1,1,1,1
Other Liabilities +,79,109,128,132,116,115,107,89,101,123,162,131,134
Total Liabilities,128,174,223,263,317,411,539,691,861,"1,054","1,303","1,522","1,670"
Fixed Assets +,31,101,111,143,152,169,138,167,183,162,157,166,175
CWIP,51,25,31,0,3,15,9,4,1,3,43,28,17
Investments,1,1,1,1,19,48,168,196,149,265,485,584,714
Other Assets +,44,48,80,118,143,178,225,325,528,624,618,745,763
Total Assets,128,174,223,263,317,411,539,691,861,"1,054","1,303","1,522","1,670"
