0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,128,112,116,137,131,145,174,179,133,139,186,208,185
Expenses +,75,74,70,80,79,80,97,90,70,82,104,110,108
Operating Profit,53,38,46,57,52,65,77,89,63,58,81,98,77
OPM %,42%,34%,40%,42%,39%,45%,44%,50%,48%,41%,44%,47%,42%
Other Income +,9,10,35,22,29,12,27,24,18,36,22,43,29
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,7,6,7,6,6,7,7,7,7,6,6,6
Profit before tax,56,42,75,73,74,71,97,107,74,87,97,135,100
Tax %,30%,30%,15%,22%,20%,23%,22%,23%,26%,20%,25%,21%,25%
Net Profit +,39,29,63,58,59,54,76,82,55,70,73,106,75
EPS in Rs,5.16,3.83,8.34,7.59,7.80,7.16,10.04,10.81,7.30,9.20,9.54,13.91,9.83
Raw PDF,,,,,,,,,,,,,
