0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,35,35,35,35,35,35,35,35,35,35,41,82,82
Reserves,843,919,998,"1,051","1,109","1,192","1,316","1,448","1,592","1,754","3,329","3,478","3,628"
Borrowings +,0,0,50,141,727,"1,458","2,092","2,062","2,618","3,374","5,388","7,111","9,223"
Other Liabilities +,14,16,49,77,94,104,88,58,266,280,539,445,493
Total Liabilities,892,970,"1,133","1,304","1,965","2,789","3,532","3,603","4,511","5,444","9,298","11,116","13,427"
Fixed Assets +,4,11,8,8,12,12,10,29,24,27,271,319,308
CWIP,0,0,0,0,0,0,0,0,0,1,10,9,0
Investments,58,38,127,123,81,134,188,424,702,644,360,582,673
Other Assets +,830,921,997,"1,173","1,871","2,644","3,334","3,150","3,784","4,771","8,657","10,206","12,445"
Total Assets,892,970,"1,133","1,304","1,965","2,789","3,532","3,603","4,511","5,444","9,298","11,116","13,427"
