0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"6,050","5,787","5,527","6,155","6,717","7,144","7,225","7,351","7,809","8,337","8,335","8,203","8,509"
Interest,"3,311","3,371","3,384","3,407","3,432","3,631","4,049","4,323","4,657","4,796","4,787","4,792","4,969"
Expenses +,"2,696","2,297","2,665","3,034","3,392","4,033","3,110","3,526","3,373","3,546","3,911","3,490","3,363"
Financing Profit,42,119,-523,-287,-108,-520,66,-498,-221,-5,-363,-80,177
Financing Margin %,1%,2%,-9%,-5%,-2%,-7%,1%,-7%,-3%,-0%,-4%,-1%,2%
Other Income +,302,280,831,910,919,"1,424",959,"1,061","1,330","1,362","1,165","1,647","1,229"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,344,398,308,623,811,903,"1,025",563,"1,109","1,356",802,"1,567","1,407"
Tax %,19%,22%,24%,49%,44%,37%,59%,-8%,35%,40%,-10%,42%,32%
Net Profit +,279,310,235,318,458,571,418,605,718,807,880,913,959
EPS in Rs,0.32,0.36,0.27,0.37,0.53,0.66,0.48,0.70,0.83,0.93,1.01,1.05,1.10
Gross NPA %,15.16%,14.84%,14.90%,9.67%,8.85%,8.44%,4.95%,4.62%,4.50%,4.50%,4.54%,4.59%,3.86%
Net NPA %,4.39%,3.97%,3.93%,2.95%,2.09%,1.77%,1.75%,1.64%,1.27%,1.23%,0.73%,0.69%,0.59%
Raw PDF,,,,,,,,,,,,,
