0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,75,75,86,102,122,151,152,158,271,415,451,641,852
Expenses +,64,51,62,52,60,66,71,95,99,133,184,249,330
Operating Profit,11,25,23,50,62,85,82,63,172,282,267,392,522
OPM %,15%,33%,27%,49%,51%,56%,54%,40%,64%,68%,59%,61%,61%
Other Income +,44,31,31,64,34,28,36,43,42,65,93,102,133
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,2,4,5,3,3,6,8,9,7,10,16,21,35
Profit before tax,53,52,49,111,92,106,110,97,206,337,344,473,619
Tax %,23%,20%,30%,31%,26%,27%,23%,20%,22%,22%,21%,23%,
Net Profit +,41,41,35,77,68,78,84,77,160,264,272,363,479
EPS in Rs,1.97,1.98,1.66,3.68,3.25,3.72,4.04,3.70,7.66,12.62,13.02,17.38,22.91
Dividend Payout %,51%,50%,66%,34%,46%,47%,50%,61%,59%,59%,61%,63%,
