0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,387,439,396,414,456,533,427,461,437,547,398,490,449
Expenses +,326,356,335,348,383,445,358,387,377,455,342,420,390
Operating Profit,61,82,61,66,73,88,68,74,59,92,56,70,59
OPM %,16%,19%,15%,16%,16%,17%,16%,16%,14%,17%,14%,14%,13%
Other Income +,4,0,-0,11,14,5,16,11,16,16,16,18,12
Interest,1,2,1,1,1,2,1,1,1,1,1,3,2
Depreciation,8,8,7,8,8,8,8,8,9,9,8,10,10
Profit before tax,56,73,53,68,77,83,75,76,65,98,63,75,60
Tax %,25%,29%,25%,25%,27%,25%,25%,25%,22%,23%,25%,10%,23%
Net Profit +,42,52,40,51,56,63,56,57,51,75,47,68,46
EPS in Rs,32.50,40.04,30.47,39.00,43.34,48.39,43.34,43.74,39.12,57.69,36.11,52.35,35.26
Raw PDF,,,,,,,,,,,,,
