0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"42,883","49,131","41,637","25,716","27,522","32,369","41,113","36,973","22,222","43,068","76,271","66,024","59,827"
Expenses +,"43,743","48,544","41,779","24,367","25,645","30,288","40,595","39,076","20,209","40,336","70,574","61,548","58,555"
Operating Profit,-860,587,-142,"1,349","1,877","2,082",518,"-2,103","2,014","2,732","5,698","4,476","1,272"
OPM %,-2%,1%,-0%,5%,7%,6%,1%,-6%,9%,6%,7%,7%,2%
Other Income +,15,40,30,36,40,39,59,24,107,16,15,13,35
Interest,478,569,405,353,274,322,421,415,376,413,331,224,230
Depreciation,375,390,226,274,279,340,453,523,467,504,573,606,608
Profit before tax,"-1,698",-331,-742,759,"1,365","1,458",-298,"-3,016","1,277","1,832","4,809","3,660",470
Tax %,4%,-8%,-95%,2%,25%,37%,-28%,-31%,81%,27%,27%,26%,
Net Profit +,"-1,767",-304,-39,742,"1,030",913,-213,"-2,078",238,"1,342","3,534","2,711",336
EPS in Rs,-118.65,-20.40,-2.62,49.82,69.15,61.31,-14.33,-139.52,15.95,90.15,237.31,182.07,22.56
Dividend Payout %,0%,0%,0%,8%,30%,30%,0%,0%,0%,2%,11%,30%,
