0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"9,939","16,414","23,163","19,509","16,054","18,009","14,745","16,545","17,376","17,720","17,095","12,087","12,925"
Expenses +,"9,393","14,826","19,756","19,279","15,620","16,382","13,795","14,740","16,696","16,678","16,432","12,761","12,683"
Operating Profit,546,"1,588","3,407",230,434,"1,627",950,"1,804",680,"1,042",663,-675,242
OPM %,5%,10%,15%,1%,3%,9%,6%,11%,4%,6%,4%,-6%,2%
Other Income +,1,6,2,10,2,2,2,5,2,3,4,23,4
Interest,113,96,76,61,108,84,57,65,50,51,48,52,79
Depreciation,132,132,133,143,141,157,147,157,151,151,150,153,153
Profit before tax,301,"1,367","3,199",36,186,"1,388",747,"1,588",481,844,470,-857,14
Tax %,24%,27%,26%,21%,23%,28%,27%,25%,25%,27%,27%,-27%,26%
Net Profit +,229,994,"2,359",28,143,"1,004",548,"1,191",360,612,343,-629,10
EPS in Rs,15.37,66.78,158.40,1.87,9.60,67.44,36.82,79.95,24.17,41.12,23.01,-42.27,0.70
Raw PDF,,,,,,,,,,,,,
