0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,143,143,144,156,156,156,156,164,164,164,164,168,168
Reserves,"1,822","2,151","2,530","3,501","4,129","4,942","6,019","8,008","9,396","11,543","14,132","19,388","21,196"
Deposits,0,0,0,0,0,0,0,0,0,0,0,0,0
Borrowings +,"15,289","18,093","19,975","22,576","24,109","38,330","50,567","55,005","63,730","69,174","97,356","134,474","157,794"
Other Liabilities +,931,"1,159","1,225","1,655","2,201",661,684,825,"1,258","1,482","1,863","2,421","2,447"
Total Liabilities,"18,185","21,547","23,873","27,888","30,595","44,090","57,426","64,002","74,548","82,363","113,516","156,451","181,606"
Fixed Assets +,71,73,68,111,140,161,163,274,220,255,399,"1,557","1,662"
CWIP,0,0,0,0,0,4,13,10,10,37,60,12,0
Investments,225,82,67,67,239,73,73,73,"1,619","2,076","3,620","4,100","5,815"
Other Assets +,"17,890","21,391","23,737","27,710","30,216","43,852","57,178","63,646","72,700","79,996","109,436","150,781","174,129"
Total Assets,"18,185","21,547","23,873","27,888","30,595","44,090","57,426","64,002","74,548","82,363","113,516","156,451","181,606"
