0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"2,554","3,262","3,690","4,192","4,660","5,479","6,992","8,653","9,519","10,055","12,757","18,960","24,141"
Interest,"1,411","1,771","1,960","2,051","2,231","2,659","3,589","4,592","4,576","4,299","5,749","9,231","11,702"
Expenses +,674,918,"1,044","1,250","1,286","1,369","1,525","2,367","2,862","2,852","3,510","5,207","7,003"
Financing Profit,470,573,686,891,"1,143","1,451","1,878","1,693","2,081","2,904","3,498","4,522","5,435"
Financing Margin %,18%,18%,19%,21%,25%,26%,27%,20%,22%,29%,27%,24%,23%
Other Income +,1,1,0,1,1,0,1,0,56,84,220,255,285
Depreciation,20,24,29,21,38,50,55,108,98,97,119,196,253
Profit before tax,451,550,657,871,"1,106","1,401","1,823","1,586","2,038","2,891","3,600","4,582","5,468"
Tax %,32%,34%,34%,35%,35%,34%,35%,34%,26%,26%,26%,25%,
Net Profit +,307,364,435,568,719,918,"1,186","1,052","1,515","2,147","2,666","3,423","4,050"
EPS in Rs,4.28,5.08,6.06,7.28,9.20,11.75,15.17,12.84,18.47,26.15,32.44,40.75,48.19
Dividend Payout %,16%,14%,12%,12%,12%,11%,9%,13%,11%,8%,6%,5%,
