0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,161,161,161,161,161,161,161,161,161,161,161,161,162
Reserves,"8,709","9,931","10,930","11,825","12,640","13,952","15,621","17,242","19,766","22,352","24,477","27,812","28,972"
Borrowings +,966,877,"1,381","1,132",324,174,-0,6,52,23,50,46,43
Other Liabilities +,"1,658","1,955","2,721","2,121","2,482","2,807","2,637","2,997","2,984","2,912","2,908","3,034","3,415"
Total Liabilities,"11,493","12,924","15,192","15,239","15,607","17,095","18,419","20,406","22,964","25,449","27,596","31,053","32,591"
Fixed Assets +,"3,418","3,524","3,594","3,826","4,236","4,320","4,189","4,151","4,066","3,910","3,809","3,719","3,862"
CWIP,350,377,361,551,556,463,297,320,355,268,504,670,579
Investments,"2,602","3,587","4,421","4,256","4,286","4,637","5,815","7,190","9,726","10,974","11,909","13,794","13,733"
Other Assets +,"5,123","5,436","6,816","6,606","6,530","7,675","8,117","8,745","8,816","10,298","11,374","12,871","14,417"
Total Assets,"11,493","12,924","15,192","15,239","15,607","17,095","18,419","20,406","22,964","25,449","27,596","31,053","32,591"
