0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,884","3,735","3,846","4,151","3,536","3,566","4,318","4,234","4,381","4,037","4,501","4,775","4,971"
Expenses +,"2,877","3,109","2,852","3,090","2,707","2,854","3,114","3,009","3,025","3,209","3,141","3,337","3,309"
Operating Profit,"1,007",625,994,"1,061",829,711,"1,205","1,225","1,356",828,"1,360","1,438","1,662"
OPM %,26%,17%,26%,26%,23%,20%,28%,29%,31%,21%,30%,30%,33%
Other Income +,98,330,147,107,208,-1,158,319,265,595,214,289,189
Interest,6,6,2,8,6,9,0,7,9,5,5,3,4
Depreciation,134,137,128,176,130,162,136,180,135,137,138,146,143
Profit before tax,965,813,"1,010",985,901,540,"1,226","1,358","1,477","1,281","1,430","1,578","1,704"
Tax %,24%,20%,25%,27%,25%,34%,27%,24%,25%,19%,26%,25%,16%
Net Profit +,731,653,759,720,679,355,895,"1,030","1,114","1,038","1,056","1,178","1,438"
EPS in Rs,9.06,8.09,9.41,8.93,8.41,4.40,11.09,12.75,13.80,12.86,13.08,14.59,17.81
Raw PDF,,,,,,,,,,,,,
