0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"1,035","1,050","1,099","1,181","1,206","1,228","1,266","1,304","1,326","1,374","1,389","1,434","1,479"
Interest,545,549,575,613,650,714,744,766,810,828,843,851,891
Expenses +,404,435,447,390,507,451,452,390,391,402,403,451,455
Financing Profit,86,66,78,178,49,63,71,149,125,145,142,132,133
Financing Margin %,8%,6%,7%,15%,4%,5%,6%,11%,9%,11%,10%,9%,9%
Other Income +,160,203,218,173,224,195,191,182,193,175,192,226,228
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,246,269,295,351,273,258,262,331,318,320,334,358,361
Tax %,20%,22%,24%,21%,20%,16%,13%,15%,20%,20%,21%,20%,21%
Net Profit +,196,209,225,276,218,218,227,281,253,255,264,285,286
EPS in Rs,2.65,2.83,3.04,3.74,2.94,2.94,3.07,3.79,3.42,3.44,3.57,3.85,3.86
Gross NPA %,5.21%,4.70%,4.65%,4.36%,4.62%,4.37%,4.91%,4.66%,4.47%,3.99%,3.88%,3.54%,3.36%
Net NPA %,3.44%,2.95%,2.89%,2.69%,2.67%,2.36%,2.51%,2.34%,2.19%,1.97%,1.87%,1.62%,1.42%
Raw PDF,,,,,,,,,,,,,
