0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,299,375,320,426,695,509,336,294,399,488,390,315,416
Expenses +,194,109,135,306,472,452,151,185,162,263,288,185,252
Operating Profit,105,266,185,120,224,57,185,109,236,225,102,130,164
OPM %,35%,71%,58%,28%,32%,11%,55%,37%,59%,46%,26%,41%,39%
Other Income +,"5,590","3,609",37,"2,635","8,672","3,209",805,"2,149","9,167","3,212",32,"3,961","9,548"
Interest,0,0,0,0,1,0,1,0,1,1,2,1,1
Depreciation,5,5,5,15,11,12,11,11,11,11,11,12,11
Profit before tax,"5,689","3,870",216,"2,740","8,883","3,254",978,"2,246","9,392","3,426",121,"4,079","9,699"
Tax %,1%,2%,26%,2%,1%,4%,6%,2%,1%,3%,28%,-1%,1%
Net Profit +,"5,645","3,793",161,"2,694","8,809","3,138",918,"2,196","9,316","3,336",87,"4,134","9,646"
EPS in Rs,9.16,6.16,0.26,4.37,14.29,5.09,1.49,3.56,15.12,5.41,0.14,6.71,15.65
Raw PDF,,,,,,,,,,,,,
