0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,880,884,972,"1,044","1,088","1,127","1,140","1,219","1,265","1,225","1,210","1,326","1,433"
Expenses +,744,766,878,932,934,"1,032","1,072","1,109","1,092","1,066","1,136","1,218","1,346"
Operating Profit,136,119,94,112,154,94,68,110,173,159,74,108,87
OPM %,15%,13%,10%,11%,14%,8%,6%,9%,14%,13%,6%,8%,6%
Other Income +,82,98,99,70,159,208,197,36,308,218,90,199,109
Interest,15,15,14,16,16,13,14,18,19,22,17,5,13
Depreciation,21,21,28,27,24,30,30,31,32,34,31,38,41
Profit before tax,182,181,151,139,274,259,221,97,429,321,115,263,143
Tax %,9%,1%,11%,16%,12%,7%,5%,21%,4%,8%,29%,13%,26%
Net Profit +,166,180,135,117,240,241,211,77,410,294,81,230,106
EPS in Rs,27.30,29.60,22.10,19.19,39.25,39.48,34.54,12.46,66.39,47.57,12.18,34.41,15.84
Raw PDF,,,,,,,,,,,,,
