0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,49,49,49,49,49,49,49,49,49,49,49,49,49
Reserves,190,215,232,250,313,364,343,440,421,556,679,835,940
Borrowings +,0,0,0,0,0,0,0,0,73,73,76,82,79
Other Liabilities +,60,79,79,94,91,128,170,226,235,217,207,334,311
Total Liabilities,299,343,360,393,453,540,563,715,778,894,"1,010","1,300","1,379"
Fixed Assets +,28,33,63,56,62,80,87,158,144,169,165,163,165
CWIP,0,0,0,0,0,0,0,0,0,0,8,10,0
Investments,209,233,232,275,306,332,323,397,362,455,479,598,691
Other Assets +,62,77,65,62,85,129,153,161,272,270,358,529,524
Total Assets,299,343,360,393,453,540,563,715,778,894,"1,010","1,300","1,379"
