0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,295,320,372,442,464,606,651,661,674,864,929,"1,054","1,285"
Expenses +,230,258,245,300,289,402,459,402,405,474,523,573,684
Operating Profit,65,62,127,142,175,204,192,260,269,390,405,481,601
OPM %,22%,19%,34%,32%,38%,34%,30%,39%,40%,45%,44%,46%,47%
Other Income +,0,0,0,1,9,50,11,19,58,40,21,32,40
Interest,0,0,0,1,0,0,0,8,7,7,7,7,7
Depreciation,0,0,23,17,16,21,27,46,39,47,54,58,61
Profit before tax,65,62,104,125,168,233,176,225,280,376,366,448,573
Tax %,0%,0%,33%,35%,36%,31%,36%,27%,22%,23%,25%,25%,
Net Profit +,65,62,70,81,108,160,112,164,219,289,275,337,432
EPS in Rs,13.40,12.70,14.28,16.68,22.05,32.81,23.00,33.65,44.88,59.18,56.04,68.60,87.69
Dividend Payout %,58%,51%,62%,65%,56%,68%,118%,36%,140%,65%,67%,68%,
