0,1,2,3,4,5,6,7,8
Sales +,340,436,512,617,713,853,"1,017","1,089"
Expenses +,195,256,308,289,439,509,585,639
Operating Profit,145,180,205,328,274,344,432,450
OPM %,43%,41%,40%,53%,38%,40%,42%,41%
Other Income +,18,17,31,14,23,35,34,46
Interest,1,1,1,1,6,5,3,1
Depreciation,18,19,21,28,50,54,54,53
Profit before tax,144,178,213,313,241,320,409,442
Tax %,30%,33%,21%,25%,26%,26%,26%,
Net Profit +,100,118,169,235,179,238,305,328
EPS in Rs,105.66,124.48,177.65,247.44,187.76,22.76,29.13,31.37
Dividend Payout %,0%,21%,22%,0%,3%,30%,30%,
