0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,576,694,621,812,908,"1,065","1,170","1,247","1,292","1,457","1,512","1,453","1,380"
Interest,192,217,226,273,314,346,385,424,442,482,510,485,475
Expenses +,206,267,209,299,293,311,309,342,365,434,453,700,"1,020"
Financing Profit,177,210,186,240,301,409,477,481,486,542,549,269,-115
Financing Margin %,31%,30%,30%,30%,33%,38%,41%,39%,38%,37%,36%,18%,-8%
Other Income +,1,0,0,2,2,1,1,1,3,2,1,1,2
Depreciation,6,7,7,13,13,12,12,12,13,14,14,17,16
Profit before tax,172,203,179,229,290,398,465,469,476,529,535,252,-129
Tax %,25%,25%,26%,24%,26%,25%,26%,26%,26%,25%,26%,26%,-23%
Net Profit +,129,151,133,175,216,297,346,349,353,397,398,186,-100
EPS in Rs,8.29,9.71,8.50,11.22,13.82,18.98,22.16,21.95,22.20,24.91,24.95,11.67,-6.24
Gross NPA %,5.50%,3.12%,,1.73%,1.48%,1.21%,0.89%,0.77%,0.97%,1.18%,1.46%,2.44%,3.99%
Net NPA %,,,,0.47%,,0.35%,0.27%,0.24%,0.29%,0.35%,0.45%,0.76%,1.28%
Raw PDF,,,,,,,,,,,,,
