0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,33.00,34.00,33.00,33.00,32.00,34.00,35.00,33.00,30.00,32.00,34.00,29.00,61.00
Expenses +,28.00,28.00,29.00,30.00,29.00,30.00,32.00,28.00,28.00,25.00,30.00,23.00,52.00
Operating Profit,5.00,6.00,4.00,3.00,3.00,4.00,3.00,5.00,2.00,7.00,4.00,6.00,9.00
OPM %,15.15%,17.65%,12.12%,9.09%,9.38%,11.76%,8.57%,15.15%,6.67%,21.88%,11.76%,20.69%,14.75%
Other Income +,3.00,93.00,7.00,88.00,11.00,94.00,9.00,85.00,9.00,12.00,99.00,12.00,8.00
Interest,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Depreciation,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00
Profit before tax,7.00,96.00,9.00,89.00,12.00,95.00,10.00,87.00,9.00,17.00,101.00,15.00,14.00
Tax %,-42.86%,0.00%,0.00%,4.49%,8.33%,6.32%,10.00%,4.60%,0.00%,35.29%,4.95%,33.33%,50.00%
Net Profit +,10.00,96.00,9.00,85.00,11.00,89.00,9.00,83.00,9.00,11.00,96.00,10.00,7.00
EPS in Rs,0.53,5.12,0.48,4.53,0.59,4.75,0.48,4.43,0.48,0.59,5.12,0.53,0.37
Raw PDF,,,,,,,,,,,,,
