0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,422,416,440,467,429,431,480,532,476,479,534,584,528
Expenses +,323,311,331,337,325,315,344,369,346,349,379,399,383
Operating Profit,100,105,110,130,105,116,136,163,130,130,156,184,145
OPM %,24%,25%,25%,28%,24%,27%,28%,31%,27%,27%,29%,32%,28%
Other Income +,11,13,19,8,9,12,15,14,15,16,29,22,30
Interest,9,11,8,10,8,8,7,7,6,6,6,5,5
Depreciation,19,22,19,21,21,21,18,19,19,20,18,18,19
Profit before tax,83,85,102,106,84,98,125,151,120,120,161,183,151
Tax %,26%,23%,22%,26%,26%,27%,25%,25%,26%,26%,24%,26%,24%
Net Profit +,62,65,80,79,63,71,94,113,88,90,123,135,114
EPS in Rs,7.40,7.83,9.56,9.43,7.51,8.56,11.22,13.54,10.58,10.72,14.72,16.18,13.70
Raw PDF,,,,,,,,,,,,,
